acc_x[g],acc_y[g],acc_z[g]
-0.292,0.076,0.944
-0.26,0.057,1.014
-0.289,0.036,0.941
-0.273,0.013,0.972
-0.306,0.058,0.944
-0.273,0.082,0.97
-0.259,0.016,1.01
-0.3,0.06,0.984
-0.281,0.011,0.915
-0.318,0.037,0.978
-0.278,0.072,0.917
-0.275,-0.008,0.99
-0.304,0.048,0.953
-0.278,0.083,0.939
-0.261,0.028,1.031
-0.273,0.072,0.963
-0.261,0.007,0.992
-0.294,0.049,0.944
-0.266,0.035,0.969
-0.289,0.084,0.94
-0.281,0.023,0.954
-0.326,0.014,0.925
-0.305,0.066,0.945
-0.279,0.053,0.996
-0.274,0.057,0.969
-0.257,0.005,1.01
-0.27,0.071,0.967
-0.257,0.021,1.013
-0.283,0.076,0.955
-0.27,0.064,0.971
-0.271,-0.006,0.985
-0.305,0.063,0.942
-0.275,0.054,0.981
-0.278,0.053,0.952
-0.239,0.032,1.048
-0.306,0.066,0.902
-0.267,0.006,0.999
-0.288,0.075,0.947
-0.28,0.075,0.964
-0.288,0.009,0.972
-0.299,0.03,0.919
-0.291,0.038,0.976
-0.294,0.09,0.938
-0.249,0.015,1.026
-0.29,0.058,0.921
-0.25,0.023,1.027
-0.289,0.054,0.975
-0.263,0.075,0.973
-0.256,0.037,0.996
-0.278,0.03,0.963
-0.293,0.025,0.983
-0.305,0.09,0.902
-0.267,0.019,1.01
-0.3,0.057,0.937
-0.268,0.036,0.961
-0.318,0.029,0.938
-0.27,0.073,0.992
-0.261,0.058,1.003
-0.28,0.044,0.97
-0.255,-0.015,1.001
-0.291,0.08,0.934
-0.262,0.058,1
-0.298,0.051,0.931
-0.287,0.035,0.976
-0.273,0.033,0.986
-0.278,0.058,0.989
-0.252,0.064,1.026
-0.281,0.074,0.944
-0.244,-0.015,1.046
-0.3,0.078,0.912
-0.262,0.041,0.979
-0.285,0.061,0.957
-0.275,0.049,0.98
-0.299,0.04,0.931
-0.299,0.033,0.935
-0.271,0.057,1.01
-0.286,0.079,0.955
-0.239,0,1.043
-0.279,0.043,0.935
-0.268,0.043,0.998
-0.276,0.091,0.975
-0.27,0.028,0.972
-0.298,0.02,0.934
-0.296,0.048,0.927
-0.275,0.025,0.978
-0.298,0.09,0.935
-0.251,0.035,1.029
-0.287,0.034,0.949
-0.273,0.041,1
-0.278,0.075,0.965
-0.257,0.046,1.004
-0.255,0.032,1.022
-0.296,0.065,0.912
-0.298,0.003,0.978
-0.31,0.087,0.924
-0.254,0.057,1.032
-0.277,0.036,0.945
-0.27,0.014,0.984
