acc_x[g],acc_y[g],acc_z[g]
-0.224,0.011,1.072
-0.252,0.035,1
-0.326,0.082,0.93
-0.292,0.032,0.837
-0.268,0.018,0.99
-0.292,0.054,1
-0.289,0.064,1.013
-0.284,0.059,0.876
-0.269,0.002,0.952
-0.313,0.062,0.988
-0.306,0.057,0.997
-0.271,0.085,0.955
-0.208,0.02,1.019
-0.273,0.006,0.955
-0.334,0.05,0.922
-0.339,0.093,0.904
-0.216,0.011,0.992
-0.224,0.03,1.048
-0.311,0.027,0.938
-0.338,0.08,0.891
-0.269,0.068,0.917
-0.247,0.009,1.053
-0.264,0.031,1.012
-0.306,0.056,0.92
-0.294,0.077,0.858
-0.265,0.018,0.994
-0.29,0.036,1.007
-0.297,0.053,0.99
-0.276,0.067,0.891
-0.223,0.003,0.991
-0.313,0.037,0.951
-0.337,0.064,0.957
-0.278,0.069,0.942
-0.201,0.008,1.007
-0.259,0.029,1
-0.338,0.031,0.895
-0.35,0.101,0.851
-0.268,0.046,0.961
-0.227,-0.013,1.058
-0.284,0.032,0.984
-0.328,0.099,0.897
-0.269,0.056,0.899
-0.244,0.016,1.023
-0.296,0.005,0.997
-0.314,0.064,0.936
-0.273,0.083,0.87
-0.271,0.006,0.977
-0.297,0.022,0.998
-0.289,0.06,1.014
-0.272,0.079,0.885
-0.252,0.01,0.962
-0.313,0.007,0.944
-0.319,0.056,0.953
-0.315,0.12,0.915
-0.22,0.016,1.03
-0.259,-0.022,0.998
-0.329,0.058,0.904
-0.329,0.108,0.907
-0.234,0.051,0.977
-0.236,-0.003,1.082
-0.278,-0.001,0.976
-0.316,0.101,0.877
-0.275,0.081,1.061
-0.24,0.002,1.011
-0.264,0.085,0.957
-0.249,0.081,0.881
-0.253,0.003,0.995
-0.301,0.019,0.996
-0.29,0.075,0.987
-0.268,0.09,0.919
-0.233,-0.005,0.988
-0.305,0.015,0.962
-0.334,0.067,0.938
-0.296,0.09,0.935
-0.227,0.028,1.035
-0.23,-0.01,1.042
-0.311,0.049,0.915
-0.366,0.119,0.847
-0.264,0.034,0.965
-0.207,-0.028,1.104
-0.26,0.056,1.002
-0.309,0.09,0.91
-0.297,0.062,0.833
-0.281,-0.017,1.001
-0.283,0.019,1.002
-0.281,0.094,0.99
-0.284,0.092,0.878
-0.268,-0.025,0.971
-0.289,0.025,0.976
-0.315,0.09,0.982
