acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
497.760,622.688,441.152,585.600,679.296,382.592
493.368,623.664,437.248,609.024,663.680,406.016
489.464,627.080,437.248,569.984,687.104,374.784
486.048,628.544,435.784,554.368,679.296,398.208
483.608,632.448,436.272,562.176,648.064,398.208
480.680,631.960,432.368,546.560,687.104,382.592
479.216,633.424,429.928,569.984,671.488,382.592
477.752,637.328,428.464,569.984,671.488,359.168
476.288,641.232,427.488,554.368,671.488,390.400
476.776,641.232,426.512,593.408,702.720,406.016
472.872,643.672,420.656,585.600,648.064,374.784
471.896,647.088,421.144,562.176,687.104,390.400
471.408,648.064,422.120,554.368,671.488,366.976
470.432,648.552,417.728,601.216,679.296,359.168
470.920,650.016,418.216,593.408,679.296,351.360
469.456,650.016,418.216,554.368,679.296,374.784
467.504,651.968,421.632,546.560,687.104,398.208
467.504,652.944,421.632,569.984,694.912,390.400
465.552,651.968,420.656,530.944,687.104,359.168
465.552,652.456,419.192,585.600,710.528,335.744
463.112,650.504,418.216,562.176,687.104,359.168
461.160,648.064,420.168,569.984,663.680,359.168
462.624,648.064,420.168,538.752,687.104,374.784
460.672,646.112,418.216,530.944,702.720,351.360
457.744,646.112,419.192,546.560,718.336,390.400
456.768,644.160,421.144,562.176,687.104,351.360
458.720,643.184,418.216,530.944,694.912,366.976
455.304,641.720,416.264,515.328,702.720,398.208
452.864,641.720,419.680,530.944,679.296,351.360
451.400,638.792,417.240,530.944,671.488,374.784
452.376,639.280,417.728,523.136,671.488,374.784
453.352,636.840,417.728,554.368,687.104,366.976
452.376,634.888,414.312,523.136,687.104,374.784
450.912,634.888,412.848,554.368,655.872,351.360
453.840,634.888,412.848,523.136,655.872,374.784
453.352,631.960,410.896,562.176,671.488,382.592
455.304,629.520,407.968,538.752,655.872,366.976
454.328,629.520,406.992,554.368,679.296,374.784
456.768,626.592,405.040,554.368,663.680,327.936
459.208,628.544,402.112,546.560,671.488,366.976
458.720,626.104,396.256,569.984,624.640,351.360
459.696,625.128,394.792,546.560,663.680,359.168
459.208,624.640,391.376,523.136,694.912,366.976
458.232,626.104,387.472,546.560,679.296,366.976
458.232,625.616,384.056,546.560,679.296,335.744
456.768,627.568,379.664,530.944,655.872,312.320
455.304,624.640,375.760,554.368,663.680,312.320
453.840,625.128,372.344,546.560,687.104,304.512
454.816,626.104,366.000,546.560,648.064,312.320
453.840,626.592,362.096,538.752,679.296,320.128
451.400,625.616,356.240,569.984,648.064,312.320
450.912,629.032,349.408,577.792,687.104,273.280
450.912,630.496,346.480,562.176,655.872,312.320
448.472,632.936,339.648,546.560,671.488,265.472
447.008,635.376,335.744,562.176,671.488,304.512
445.056,638.792,331.840,554.368,640.256,288.896
444.080,645.136,325.008,546.560,687.104,249.856
441.640,648.552,324.520,538.752,679.296,281.088
440.664,651.480,319.152,523.136,694.912,257.664
435.296,654.408,315.736,530.944,702.720,249.856
432.368,659.288,311.832,530.944,663.680,257.664
430.904,661.240,311.344,507.520,671.488,288.896
423.584,667.584,307.928,530.944,679.296,273.280
421.144,671.976,307.440,499.712,733.952,234.240
415.288,674.904,303.048,523.136,710.528,242.048
412.848,679.296,303.048,499.712,710.528,265.472
406.016,683.688,297.680,491.904,702.720,257.664
401.136,685.640,298.168,468.480,733.952,273.280
399.184,689.544,297.192,484.096,733.952,242.048
394.792,691.496,295.240,491.904,733.952,226.432
393.816,694.424,293.288,491.904,733.952,249.856
391.864,696.376,290.360,460.672,757.376,257.664
387.472,700.768,287.920,460.672,733.952,234.240
385.032,703.696,286.456,499.712,749.568,242.048
